Index,Title,Price,Ratings,NumberOfReviews,ASIN,URL,Manufacturer,Description
1,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","₹1,199",4.2,"2,306",B078JVT384,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzgwMzEyODkzMTE0NjU4OjE2OTc4OTA5MzM6c3BfYXRmOjIwMDQzMzIxMTM2NjA2OjowOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697890933%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Cosmus,"Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.  This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move. Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+"
2,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹499,3.9,"17,634",B085MHDJ93,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzgwMzEyODkzMTE0NjU4OjE2OTc4OTA5MzM6c3BfYXRmOjIwMTQ2NTQzMDk0NDk4OjowOjo&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697890933%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Amazing Bags,"Half Moon Backpack - A Quality of BackpacksWe(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.FeaturesDURABLE MATERIAL:Made with strong polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women.COMFY & STURDY:Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers.INNER MATERIAL:The material used in the inner compartments is thin yet strong and durable so, be assured of its quality. Thin material is used inside to make it lightweight & comfortable in carrying and to protect it from wear & tear.LOTS OF STORAGE SPACE & POCKETS:One separate Padded laptop compartment. Multiple compartments can store lots of stuff, that too organised.OTHER FEATURES:Rain cover, Reflector logo, Two water bottle/umbrella pockets, Secret-pocket at bottom for Rain cover and other stuffs, High-Quality zippers, Bartacks on pressure points for extra strength, Ergonomic design, etc.Casual Stylish BackpackThis trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.Backpack for Every NeedsThis MADE IN INDIA Product features 3 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Laptop Compartment, Top padded Handle for comfort. Its ergonomics comfortable design makes you forget the load you are carrying,Spacious compartmentsThis casual backpack comes with three spacious zippered compartments which can accommodate your notebooks and other essentials with ease. Store your umbrella, notebooks and water bottle in this spacious bag and move around comfortably all day.Comfort & QualityThis casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.Rain / Dust CoverThis backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.Proudly Made in IndiaHalf Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.Shipped Directly from FactoryHalf Moon offers high-quality bags at the lowest prices. We offer bags directly from factory to the customer to provide the bag at lowest prices possible.Half Moon 35L Casual Waterproof Laptop Office School Backpack with Rain CoverHalf Moon Large 37L Laptop College School Bag Backpack for Men & WomenHalf Moon 35 L 15.6 inch Waterproof Laptop Office School Bag Backpack Rain CoverHalf Moon 35 L Waterproof Laptop Office School Bag Backpack with Rain CoverHalf Moon Water resistant Travelling Laptop Rucksack BackpackSize & Dimensions48 x 35 x 21 cm22 x 30 x 50 cm48 x 35 x 21 cm48 x 35 x 21 cm49 x 36 x 22 cmColorNavy BlueAvailable in Navy/Black/Sky BlueBlackNavy & OrangeBlackCapacity35 Litres37 Litres35 Litres35 Litres35 LitresBar-tacks✓✓✓✓✓Rain Cover✓✓✓✓✓Country of OriginIndiaIndiaIndiaIndiaIndia"
3,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹449,4.3,"5,319",B08R7RPVJF,https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-3,"‎Lenovo, #43/3, Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel, Nelamangala, Bangalore 562123, India","Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort"
4,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),₹499,4.3,"13,275",B084JGJ8PF,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-4,"‎Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039","Ergonomic Contoured ShapeWith a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!Fits Your LaptopTake your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches.Strong and LightweightDesigned with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain.Padded Back StrapsThe back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day.Spacious StorageFeaturing 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety.Back SupportIt won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back.A Bag for any weatherBe it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials."
5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹799,4.3,"6,905",B07M9BRCQ5,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-5,Fur Jaden,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel
6,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",₹229,4.1,"10,321",B088XG77KN,https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-6,"‎Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka","It's an edgy mix of fashionable details and practical usability. This backpack is made to accompany you on any adventureWith a capacity of 12 litres, this backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more.The multi coated, water-repellent 600D polyester fabric design keeps your belongings safe whether you're on a short excursion or bustling through a commute.The Mi Step Out Backpack is available in 4 trendy colors. The array of vibrant colors allow you to make your pick and stand out wherever you go.Fully equipped with a water repellent exterior, contra zippers, reflective pullers and adjustable shoulder straps, this backpack is ideal companion for a hands-free dayWeighing just 200g, this backpack is easy to carry whether you're toting it through the airport, hitting the gym, exploring a new city or using it as a carrier for your books."
7,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,₹689- ₹699,4.1,"1,966",B098QFF5TJ,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-7,Wesley,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag
8,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L, Charcoal black",₹499,4.3,"13,275",B085S444JV,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-8,"‎Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039","Ergonomic Contoured ShapeWith a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!Fits Your LaptopTake your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches.Strong and LightweightDesigned with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain.Padded Back StrapsThe back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day.Spacious StorageFeaturing 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety.Back SupportIt won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back.A Bag for any weatherBe it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials."
9,Impulse IMP linear 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,₹510,5.0,4,B0CJJ15CM7,https://www.amazon.in/Impulse-IMP-linear-Resistant-Navy/dp/B0CJJ15CM7/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-9,Not Mentioned,"Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs"
10,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹689,3.9,"3,864",B09VCLZ3K4,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1697890933&sprefix=ba%2Caps%2C283&sr=8-10,Amazing Bags,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover."
